  0.9600000     -0.7900000    
   16.88462      2.0869203E-04   12.62379    
   17.68036      1.8466027E-04   12.82499    
   18.51361      1.6337125E-04   13.02743    
   19.38614      1.4451494E-04   13.23111    
   20.29977      1.2781646E-04   13.43600    
   21.25648      1.1303096E-04   13.64209    
   22.25826      9.9941790E-05   13.84939    
   23.30726      8.8356021E-05   14.05788    
   24.40569      7.8102581E-05   14.26753    
   25.55590      6.9029760E-05   14.47837    
   26.76032      6.1002618E-05   14.69035    
   28.02148      5.3901964E-05   14.90349    
   29.34210      4.7621565E-05   15.11775    
   30.72495      4.2067662E-05   15.33316    
   32.17297      3.7156798E-05   15.54968    
   33.68924      3.2815133E-05   15.76731    
   35.27696      2.8977283E-05   15.98604    
   36.93952      2.5585183E-05   16.20586    
   38.68042      2.2587543E-05   16.42678    
   40.50338      1.9938758E-05   16.64876    
   42.41224      1.7598592E-05   16.87180    
   44.41108      1.5531321E-05   17.09591    
   46.50408      1.3705379E-05   17.32104    
   48.69576      1.2092753E-05   17.54723    
   50.99073      1.0668718E-05   17.77444    
   53.39387      9.4113821E-06   18.00269    
   55.91021      8.3013601E-06   18.23192    
   58.54519      7.3214874E-06   18.46218    
   61.30436      6.4566148E-06   18.69342    
   64.19350      5.6933500E-06   18.92565    
   67.21886      5.0198014E-06   19.15887    
   70.38681      4.4254998E-06   19.39305    
   73.70406      3.9011834E-06   19.62820    
   77.17757      3.4386646E-06   19.86429    
   80.81486      3.0306903E-06   20.10135    
   84.62357      2.6708672E-06   20.33931    
   88.61169      2.3535581E-06   20.57823    
   92.78786      2.0737521E-06   20.81806    
   97.16086      1.8270479E-06   21.05881    
   101.7398      1.6095551E-06   21.30045    
   106.5347      1.4178260E-06   21.54300    
   111.5556      1.2488283E-06   21.78645    
   116.8130      1.0998805E-06   22.03076    
   122.3182      9.6861970E-07   22.27596    
   128.0829      8.5295073E-07   22.52202    
   134.1193      7.5103281E-07   22.76894    
   140.4401      6.6124221E-07   23.01673    
   147.0588      5.8213834E-07   23.26534    
